Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-01,17:00:00:00,-1.87,-0.05,-1.61,99.37,-153.5,-89.03
2025-02-01,17:00:05:00,0.9,0.86,0.59,-77.82,105.84,-193.91
2025-02-01,17:00:10:00,1.05,-0.92,1.49,180.9,164.07,138.87
2025-02-01,17:00:15:00,0.95,-1.38,-1.76,13.59,-180.23,106.3
2025-02-01,17:00:20:00,0.19,-1.62,1.48,-79.44,50.57,-159.28
2025-02-01,17:00:25:00,-1.69,-0.93,0.56,-208.07,96.67,-243.4
2025-02-01,17:00:30:00,-1.28,0.33,-0.38,172.41,91.44,183.64
2025-02-01,17:00:35:00,0.12,-0.24,-1.28,111.97,-221.85,-7.48
2025-02-01,17:00:40:00,-0.32,-0.79,1.78,128.89,109.85,230.8
2025-02-01,17:00:45:00,-1.58,-1.52,-1.95,-115.15,-83.27,-162.03
2025-02-01,17:00:50:00,-0.66,1.13,1.29,40.65,-249.85,226.09
2025-02-01,17:00:55:00,1.35,-0.83,1.55,-233.84,-38.29,66.22
2025-02-01,17:01:00:00,0.05,1.85,1.59,-53.34,226.74,134.96
2025-02-01,17:01:05:00,1.33,0.45,-1.43,-51.55,9.46,167.37
2025-02-01,17:01:10:00,-0.39,-1.73,-0.08,-44.6,-85.62,-193.92
2025-02-01,17:01:15:00,-1.24,-1.37,0.45,34.72,-18.87,-42.99
2025-02-01,17:01:20:00,1.74,-0.66,1.9,-62.45,-92.82,91.65
2025-02-01,17:01:25:00,-1.54,1.54,-0.22,-87.72,-173.46,-152.49
2025-02-01,17:01:30:00,0.69,1.78,1.95,210.52,-81.14,-64.83
2025-02-01,17:01:35:00,1.33,0.22,-0.22,221.77,207.93,66.8
2025-02-01,17:01:40:00,-1.29,-1.11,1.17,-189.07,-243.9,-202.74
2025-02-01,17:01:45:00,0.18,-1.89,0.47,108.17,99.36,-241.61
2025-02-01,17:01:50:00,0.9,-0.79,-0.54,-193.08,-167.33,125.08
2025-02-01,17:01:55:00,-1.47,0.26,1.33,-92.88,-118.66,-242.62
2025-02-01,17:02:00:00,0.7,-1.0,1.44,14.48,-198.29,186.92
2025-02-01,17:02:05:00,1.34,-1.34,1.25,-207.19,241.16,178.95
2025-02-01,17:02:10:00,-1.79,-1.01,-1.81,26.71,145.25,76.3
2025-02-01,17:02:15:00,1.89,1.57,-0.04,83.81,144.59,99.44
2025-02-01,17:02:20:00,-1.33,-1.92,1.15,232.49,56.6,97.48
2025-02-01,17:02:25:00,-1.11,-1.28,1.63,-179.31,-38.94,22.7
2025-02-01,17:02:30:00,-0.61,-1.96,1.37,-52.31,219.6,-81.19
2025-02-01,17:02:35:00,-1.48,1.13,-0.15,-244.29,-1.05,34.65
2025-02-01,17:02:40:00,-0.7,-1.82,-1.33,216.14,-5.38,-53.37
2025-02-01,17:02:45:00,1.71,-1.02,-0.37,-30.27,-125.11,-20.05
2025-02-01,17:02:50:00,1.49,1.3,-1.51,101.13,-180.04,9.4
2025-02-01,17:02:55:00,-1.71,-1.94,0.88,213.39,23.7,145.42
2025-02-01,17:03:00:00,1.17,0.19,1.56,-139.18,-7.67,-55.64
2025-02-01,17:03:05:00,0.51,0.11,0.63,-165.02,-12.79,-63.37
2025-02-01,17:03:10:00,0.74,-0.33,0.07,87.47,236.26,-231.78
2025-02-01,17:03:15:00,-1.17,0.06,-0.37,-236.47,148.54,-126.84
2025-02-01,17:03:20:00,1.65,1.8,0.27,64.7,228.98,97.07
2025-02-01,17:03:25:00,0.0,-1.44,1.11,-106.95,-237.3,-142.39
2025-02-01,17:03:30:00,-0.49,-1.29,1.99,-18.62,231.18,162.5
2025-02-01,17:03:35:00,0.06,0.15,0.0,130.75,226.51,-214.41
2025-02-01,17:03:40:00,-0.62,-0.44,-1.06,43.92,98.66,-68.32
2025-02-01,17:03:45:00,-1.74,0.05,-1.04,-223.53,165.02,142.38
2025-02-01,17:03:50:00,-1.55,1.33,1.73,116.7,70.6,157.94
2025-02-01,17:03:55:00,0.32,-1.43,-1.07,-96.54,90.07,216.94
2025-02-01,17:04:00:00,-0.6,-1.87,0.31,-21.03,-236.96,-169.07
2025-02-01,17:04:05:00,-0.4,-1.04,-0.33,231.33,49.74,17.23
2025-02-01,17:04:10:00,-0.39,1.0,1.82,177.96,21.04,93.41
2025-02-01,17:04:15:00,-1.6,-1.9,-1.96,246.85,235.93,-38.28
2025-02-01,17:04:20:00,-1.9,-0.5,0.71,12.26,-171.68,-115.08
2025-02-01,17:04:25:00,-0.5,0.01,-1.92,-137.87,7.31,-173.42
2025-02-01,17:04:30:00,0.64,1.94,-0.58,30.21,-66.12,77.63
2025-02-01,17:04:35:00,-1.83,-1.61,-0.87,-125.06,-51.24,67.22
2025-02-01,17:04:40:00,-0.22,-1.94,-1.5,-1.87,162.61,-81.06
2025-02-01,17:04:45:00,1.22,1.99,1.98,137.77,-84.95,120.78
2025-02-01,17:04:50:00,-0.74,1.96,-0.75,-149.88,197.86,182.61
2025-02-01,17:04:55:00,-0.62,-0.72,0.63,232.72,-244.81,-193.24
2025-02-01,17:05:00:00,-0.07,0.72,0.28,-77.88,-153.31,182.74
2025-02-01,17:05:05:00,1.38,0.41,-0.52,249.02,14.37,128.27
2025-02-01,17:05:10:00,0.17,-1.98,1.37,-197.91,212.85,6.63
2025-02-01,17:05:15:00,-1.85,-1.99,1.62,-5.35,154.66,113.97
2025-02-01,17:05:20:00,-0.39,-1.13,-1.55,49.13,2.26,-82.64
2025-02-01,17:05:25:00,-0.4,-0.17,1.67,-200.43,69.22,101.68
2025-02-01,17:05:30:00,0.13,0.58,0.38,-102.09,93.22,218.25
2025-02-01,17:05:35:00,0.35,0.93,1.09,-99.19,-129.43,-203.56
2025-02-01,17:05:40:00,-1.58,-1.43,0.62,210.32,227.19,53.02
2025-02-01,17:05:45:00,-1.56,-1.28,0.61,238.2,216.4,-2.13
2025-02-01,17:05:50:00,-0.59,-1.64,-1.46,-112.28,85.93,14.33
